Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
299266d68dbc206667225dc83d34a3af19b9b31d91a281ab709527a26f505eba,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
47400aa6ce450e8e1014bdd2302178cb1316a346e0151984358438df35a9576f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.161536,51.404437,On or near ESHER MEWS,E01003389,Merton 013C,Suspect charged
c9995efab3e1bd10491e60674689524e6d0ea567aabcd49f4f773fe60af5f0a4,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.332464,51.590195,On or near Nightclub,E01002130,Harrow 020B,Suspect charged
422c24dc5d38bf54e51c20561c9d324bb3ce0c5f41820815c55fc8469d44ba4b,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
efefd6583b40876e4af56ebbe67ff0fdf4991ec6a44358283969edcf47652cb6,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
c19b00415d232eda567717e19da14c61b9eb126334d7d9de604126194bc6b788,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.111683,51.552769,On or near ROLLIT STREET,E01033491,Islington 011H,Suspect charged
f11a2f898fef8a097c1fcf26d8ac6cdf14055c3bb12a226b0d1d8c76fa913218,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.020286,51.447415,On or near MORENA STREET,E01003324,Lewisham 020E,Investigation complete; no suspect identified
772ab6eafda220b4df2ad19f80bc46681356011b9e4277dd7d5f3c3a8efdc386,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d522c57588eb42157a3e51dc5524eb15224579da20154edddf5656b73cb928a2,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2a7888c295b04fb143f7ba0afa1de5dcb27a7e6cc062a53c654a7f4104dc0b32,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
a8960f6c3191cded15755d504df52e2ad4eebd830ce8faa7a93d9871d06da1a8,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
7383a6e0b389ab58cfefa398ba9e2abf3aae198e6438743020d8709e101982a2,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.000171,51.631084,On or near THE GREEN,E01004354,Waltham Forest 002C,Suspect charged
2d80496a0e8b872067e918e06483aaa35e35ef50522dcb9d200593dc7e75f38b,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c4c02bbdd8104ae43ea3525df0d0cad760e71656eb2362454c085c51f7c6ba1f,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.31986,51.452748,On or near NAPOLEON ROAD,E01003868,Richmond upon Thames 007B,Offender given a caution
550cc5d03b5200c1590c2bb84c95db5f4747d2a695261e5aac513047a7bbcae1,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8cd4512e218e52cae1ec97661e9571712bf22671c04304baa4d7539b1fd268a2,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
db06c8e2c8e9a3ae1035a5f5fa5032b7dbd5042d3003f54272976c2e3457c00d,2018-02,Metropolitan Police Service,Metropolitan Police Service,-0.034445,51.433058,On or near SELWORTHY ROAD,E01003193,Lewisham 029A,Investigation complete; no suspect identified
03c28ee9bafeeb2c7db892678fb37b83fc94bb51fd34cb4038c1ad478433af2c,2018-02,Metropolitan Police Service,Metropolitan Police Service,0.094845,51.417824,On or near LEAS GREEN,E01000693,Bromley 010A,Investigation complete; no suspect identified
69a7d65c32a5e274d109195774562454c792dba8958089291b727c96d9789678,2018-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
