Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1470f3c436820ba607c95ba5537ff250288937fa89c7256d3c92d2267101c4e1,2018-03,Metropolitan Police Service,Metropolitan Police Service,0.075452,51.554401,On or near DUDLEY ROAD,E01003689,Redbridge 030G,Suspect charged
7e6b1ba7205b4d888578867a1989d84f9fcd727cb5a4baedafada9d614281e82,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
9c4590a5c2a850af7168835d98ffbe0c55d19e6080cb14fd04ecf88fa867f718,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
db39a706cf1004f2dbf9d1e167a97f80074dea081fa137447e703d28e8e76c37,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
47a2a51238e9de434995df3c177318b3da5065dff5581bbb35895f382f7832ef,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3a78cfd5557768a284ba8b4c900272e8ddd7a3b1dd8ba35cf14a41c75a836b97,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5945578217bdf1cf7d9bcb2f3d557238ff5696513f7beacf57669b208e471775,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.100304,51.493135,On or near A3,E01032719,Southwark 014G,Suspect charged
7abc8460ffda04718842860d036f07d325aca6cc74c42c41091eda26e646db34,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
069b712218a2c2cfbe26b4a21c9ffbae408eb541b2ebc8c27bb8c304df910746,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c6a19556c5c9fec1b5c887b274d56bf9c0e24d7bdd0a01fdeafe45110e043be8,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
ff001815be46f39c8430fdd39dbf5facb52e816f2a6b8b19ee07391db808dc6f,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5303a422d35dfbafb410acde127c0625aabd73f4db735929360e5914c6123948,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
5303a422d35dfbafb410acde127c0625aabd73f4db735929360e5914c6123948,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
c29e76d670edff87f3ec126169979644a1d2672e085bdbd3f2353d9c387e8947,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
625a5b4b6918e7ddd9ab02a9bd25f15942bb6432f92be2f93fdf70e0d2e89881,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.093572,51.482541,On or near ALBANY MEWS,E01003969,Southwark 017B,Offender given a drugs possession warning
a446cd42ca18a949b37e50bd63e9b1e55c4947f313f88475e726e9e5d5832421,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
03e57a264cb9d2df29a951376521ada92aed9b34e732fc06b73f12f3d032c8c9,2018-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
