Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f792ff5fa031ed709d28a275401cf4d4ed67a4584537ce212a7ed3565929b736,2018-06,Metropolitan Police Service,Metropolitan Police Service,-0.160883,51.421082,On or near MITCHAM ROAD,E01003393,Merton 008C,Investigation complete; no suspect identified
c5358b90403b45de1e8aadaee67b2370ea4fda4004714e03bc99270841829640,2018-06,Metropolitan Police Service,Metropolitan Police Service,-0.213695,51.40564,On or near HAYNT WALK,E01003366,Merton 016A,Investigation complete; no suspect identified
175c92247f2def43727685b715d72d44aafebdbe8a070a904e2d46787d278d1c,2018-06,Metropolitan Police Service,Metropolitan Police Service,-0.237393,51.398454,On or near SEAFORTH AVENUE,E01003470,Merton 020E,Suspect charged
f8ff18cc368d08cf51eba762c4ef08cd82b9e354fca19f0df6871bab4afb3bf5,2018-06,Metropolitan Police Service,Metropolitan Police Service,-0.203344,51.420274,On or near BROADWAY COURT,E01003456,Merton 003C,Suspect charged
803486ef7e95d94ec94b02fc97752ba44d680ca7ee49a81f964dd0cd9280e181,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
08ba2e53ec605a5ae5af43d3aafd21d785d1f02d3346e6353f262662677f92a6,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6ddf35f1bfe065f7312ad0ee36a27bb6054e9cae53ddcf858b185a2548410ed6,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3c0904cd8961b3e28700939ae618148c09fa9635296e6eb5cc43bfd5f794118a,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
65d313c6b496133c121f941d866dd55949e03ce28602447ff79bc6b7c1fdd436,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2104e8a834c9bfcd8bdcbb316b9232095c9ced61c59f5932b2ea8692067b4a06,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a6d9d49852d8dd50b662649700f20f2038717900af4cca776f7114ad1a1a3e77,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
20a1138ded2653328fda631154bd4896bf12784b8e663d47b50684e6d3da6640,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
03bbdf4a4ef6c91f5093d9725bc8e16947fb9af895ff662d47e716177480da61,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
cba8c396740abbe214dc67cc5057a5a83d075da3490849ecd29749afde2309e8,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0bd5867ae7b174cbedfeae0aa46ba0c184a05e8b1609e19656f87e0ddc0e7f84,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3ee7422170c5753ac48c14398dc4c64e7dc0fa14e58ad81133170cb721b8850d,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
87e60d39b4ca7324ae4e52d3d4ca14d96b6b43eee2c2589b7548b26c781acc50,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7d45cde9b53aa8da177749e84698ce78ce3084b7fcf695e39ada660957bd7856,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5590225905795c979acbd281b15db63aa2259635bd36ee17ecac0079d9a884d3,2018-06,Metropolitan Police Service,Metropolitan Police Service,0.00044,51.540263,On or near HIGH STREET,E01003617,Newham 012B,Suspect charged
33a797b63634a211c8e7fd0c4fc91bfe099f5c6a849ce166f6090672f744737d,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
08bd4a15414347d904b6cb5a27748904488790052c48281c04cb95c308642fbb,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ffe33dc3582754bf5ce4f6d783bd0af4a7a1090c3710c43d4f6f83608d8238d9,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b5f0ed9d28fcb75aa45083b231bc728ddf5d670cca93416d80234aa74b1dbad4,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e3a3434c5bf83e998c5155f323306cec0e6dfc057cc60f1787fa3110ae660010,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
359912ddfccee2999b61a959890f9bd77e27a629e2588da8dafdc9d23843da18,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
045e8c10eaa6daaaff3f3b0a79e964382ea0a1ace1a8d4c88c33fd561e8e2904,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7c1273ea2433e1f2447ec031058a1cafe98887329c00acd985fe64c04ae9d016,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fa68e5a8fc353d46dc4075dfd9e2944e49035416467a15ff84adc065a348a4b0,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3ec7c55e57438e3c8c9b2efd28520492781ce62633152cf22bfa69cf03e2f05a,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
034db39a40f4e9bea98794c9057b96b0c4300900031fcbfd4fba5d84b85cae71,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
53b7ae876ea2ce6affd34ebec49e71b6ad18dd61c3eaf36b6a970663544731c3,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c65a69ecd2ad409bba6a7c03eff156691af2ca673085ef642ed0a4a0c93e0d48,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b9b2661767a556ed80e79dffb7a45fc835623057f1e98e769201ca1bb1601ca7,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9ed7fcae8b2eb33452b0b34bf9532882f3661d77200265ba5ab5cec19c3f1c0d,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
d3271a464491a01198e283eadfe498633c83d4a826a4a953f4532645abb02db8,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2aa04b893c22194f07b5142fb42af3a2b8868b8199700392cc630b0d6fbb3daa,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
90b5f90ffd4c169bd86a17892aa1fe1cd6bd34156f7877692b31bd163a13317d,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
790c2392ec548c2c6efacea76f8f1f177cbb8059bc4685c4c610ebb9369a69f5,2018-06,Metropolitan Police Service,Metropolitan Police Service,0.19148,51.593469,On or near BROOK ROAD,E01002334,Havering 008B,Investigation complete; no suspect identified
fa448baa1d225bb9ed0c43d0a33538e7b40dc9f9937e514aee15f0565d28c918,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d6ee6ff72c7767b5625435a81ebb0a0ec82bc766cdc375acd989c86451399973,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
7a2140bbc241c16345f93d267ebf4ce068b598d14f3dbe375ad85fa6fa3dde83,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
7e9a312243d4260bce5c89124807d554c0c4598381103a1390d559aed7e4aa93,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7c7b1915848ca418e0fb5fa3ed2c729f31160a0fcf70af7639bc9bb1770cdcf5,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9383831707d0b5abc63e8bf3b06ac10350bc4a431696a63e7d1ee577d3f079f3,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
74664d6251b09e5f32a817533a7db3e6314bb72dbe1f6d740ab7d8ab0d652ecd,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f9a10459a42a52fa364437b481db846edf12e593b24b21e9fd9205bd6803a555,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c58a23bcdbbec348a809744cccadf20022d912caca84c8ce32df072f409a4c43,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
52d965d968ed134a96ba7958b3feb47db8c9ff92a7ca71a57d00b3bfc2df5874,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ae40236970e4530abfeee77bcbdcb218a38bc7a58ae0d373331e488111785ef7,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
c77a31b883d410081648a396c0cfe69fcdd670c1e312a5df1194954e1dfc3520,2018-06,Metropolitan Police Service,Metropolitan Police Service,-0.132403,51.543101,On or near COBHAM MEWS,E01000865,Camden 015B,Offender given a drugs possession warning
e6af96385578d357a84a854c196c30859f5611d8e82d0c110594a368c651957e,2018-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
