Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6635bc890d7edd337526c8f97171edd223755273102a4cf7c4457d1f4eed2dd5,2018-12,Metropolitan Police Service,Metropolitan Police Service,-0.012421,51.478073,On or near PRINCE OF ORANGE LANE,E01001641,Greenwich 038B,Local resolution
01e34536095faa68b6d23464864ccd33a304bff1832a29a6aa8459b9abcffa85,2018-12,Metropolitan Police Service,Metropolitan Police Service,0.06825,51.488791,On or near ANGLESEA MEWS,E01001696,Greenwich 011B,Suspect charged
552475811a4c947ee008a02bc7d34f28c6c90da4f2a5541a3e5f16c4f749cda6,2018-12,Metropolitan Police Service,Metropolitan Police Service,-0.384175,51.479001,On or near QUEEN'S GARDENS,E01002619,Hounslow 010A,Investigation complete; no suspect identified
8aec9dacad341a80e31241779580cca3aa4313410276f3f99ec2ed3cd6431b81,2018-12,Metropolitan Police Service,Metropolitan Police Service,-0.357045,51.472149,On or near Parking Area,E01002640,Hounslow 012C,Local resolution
13182b413b4402e878b4cc11c474c1209ef672110769fa277b2f0ca774e00f58,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7424e2e569fc7e861ed0fe8839b7b7aebbdf43ca0c424c3947718c1d6877fe07,2018-12,Metropolitan Police Service,Metropolitan Police Service,-0.258765,51.512438,On or near VYNER ROAD,E01001242,Ealing 024C,Local resolution
61d5156853621037395ec9cac6efd4389886e907e15e310aeafd9af4c2fd8397,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f5f283be5775d0706b2e52ecee5e9b49bc669d7230dded5f7872a325d31df50a,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a93111d333cb53c85d83e8ae405b7efe0038415444eb21620a26c7bbf854aee8,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given penalty notice
8fe6e1f37b952054e8448a9a879de1feea84634cabae8ce7561b8f84d984841e,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
810bf74b171455fce4e23cc9775a1b651c753b1be5f4e11868b1c1fcf991e1f4,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0b24f4a92352bdb0647b8734c232221721e903ac2e72b6b1c85787e30ee725f9,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b98846ef03566cff25fe3e58ca0c66d86e5684137c1d37ad6086041fd690e67d,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
32ec2558ca012b1235ab36ca083388033cf769fd74e34c5e5274deb0a1429706,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a caution
049a14f2c791f9fefaa7e4ef07869c74c8c575394d4cd1984806b0dad2e48030,2018-12,Metropolitan Police Service,Metropolitan Police Service,0.158947,51.483073,On or near FILSTON ROAD,E01000402,Bexley 005B,Investigation complete; no suspect identified
ca8bc9544b96de4d0fe2282b716d99f0c823154020197179c29e2c2c0d2ed538,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
403efc9530f1f18dd0b5b6f2f8a8f5697a9006608194f00b5d56976d332435d0,2018-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
