Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f82e3b4016954636f7706753ffd35fa24856d570025824a15e9740a383f8b76e,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given suspended prison sentence
58e1edfb2b781015c0100a3c1f1811c351e02ccfd72a23fd14ab760b2c0219f1,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
cb1045ce7ae6880b4f9b9ad6d9a29ee2483aa6e39e57d218a496befde0f4af39,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.165706,51.590692,On or near BERESFORD ROAD,E01000181,Barnet 029D,Offender given community sentence
d1b69fe9abb9f0bae1b98de4936c69b3b107193b792edc71cc3f525691152a2e,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.012503,51.522219,On or near EMPSON STREET,E01004238,Tower Hamlets 008D,Defendant found not guilty
bda756ba50e807f01691601b6fc3e32114e36968f4a06686d61705d536c8849f,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.134625,51.459434,On or near ABBEVILLE MEWS,E01003032,Lambeth 017B,Offender fined
09b88f2c9c07d71d2cf400b2027cf539110aa1cd0fc1c8b312178b91be7fbd30,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given suspended prison sentence
b20536d8888d2779ec370cf808904b1d5183e9edd3558b45a441589632fea9c3,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
69638c28ab009643b9f9f7fde27ba23171ab8caa93b46480e6032a0672ac86b9,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
565804fc7470259bcbcf62f9e4b09e63ef629a185aa724b00e56b39c94d1dc09,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
61c3379edc86814541189caf6e15f03916d78352c804b38fd63aac574b42aead,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.092236,51.390263,On or near THE CRESCENT,E01001114,Croydon 013E,Court case unable to proceed
05095efaaf84a05030eb79f6cba7f398a8edaa2b6a93d80c0d8aab8806069cd2,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.052297,51.479102,On or near PUMP LANE,E01003302,Lewisham 003D,Defendant found not guilty
1cd2caeae814503c245be4fb5c427d0091613852f89f999fd855f44f38d1129c,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
9f4f123222b85ae2238314e70e22486ff669e463fab19b7a15a8893ddb19f229,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Court case unable to proceed
d7fc4c2241d622364ccfb3b67b828b6c2e5925abd1d4708a7c737a4f75bb7266,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
43c9c0611c8b2a4765b9fa855838d6a0deb3b4fcea50a1fe5aaa5b26524016cb,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
ee188cf9f936b5634c891c68b7d13c246183a6ab3bac55867ffad081bc51a6ef,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
035970e8e1a37a075264c07a3e46a6996ec4e5e3efabe5431e90937e8a208ffa,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
5410e6b50ab482426b98ebd0d3dd518eb40bddb05f247992a3b8a7f3e0318329,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.322242,51.509856,On or near Parking Area,E01001389,Ealing 028F,Offender sent to prison
f3eef3d902600205f8706ed4609f2a7ac833a632dcaafdff32fb6713cb30398f,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.079338,51.526507,On or near RIVINGTON PLACE,E01033706,Hackney 027F,Offender deprived of property
aa028d5644b651d4180701d99f4ccf034122d17389964935ba516c8f5824a86e,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.287853,51.413428,On or near LONDON ROAD,E01002935,Kingston upon Thames 003A,Court case unable to proceed
523feaf7b3862737fe0efb73cd6f9741e8e25ee5c43765690d3a12f6af54e970,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
9a63dc79d902074db25eede7d0d6d7a4e1773b0f33ec83d794d17c5349ccd079,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given conditional discharge
34df3534edb3fe09b3bd45a869f8aa29cd19e6a0934b250c2990a2a031c263a0,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given suspended prison sentence
ab3db8a2a7dc34441f750160aa2ff82d0c23021219c0f7451ac45c056584300c,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.194902,51.367673,On or near HIGH STREET,E01004140,Sutton 012B,Offender fined
0df9e9f4ee252bf941f246d8d8a5dabaedba94bb8c89e41a1121483d3b4ed21e,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
7fb2f49c8edfc3c229bc2b22679eec72e4f0bdd119098eb096a3860b4458160d,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given conditional discharge
cfae52de4b5741c4f091637600b3707c3a112be362ae1a082d9731144d1caf73,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
1fb5749832387c061112da459ad63ad8745f016b5619137a2c7f0c58583c6586,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
f357be4cb76d8ba7daf45e0202a5e59ef92456d7252da4c68434a4bc05fa9145,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0af350330d6e15828cade35c59e4e37bb809d88ff7ced8d4103a4ecbf457aa8c,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
8397ec7f21b6733aa9cd2e9e4b230083bc8a687c70e1493301bf715ae1a81ef7,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8397ec7f21b6733aa9cd2e9e4b230083bc8a687c70e1493301bf715ae1a81ef7,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7fc6a64495545a96109c5deb99e6ee01a9dedc40c051f3f1f122ca4b88f91eaa,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
90c581b73a56086779a2c963029359ead558b174533ef1cfcdd7bc480894dce2,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
56d6ac05e5f5fd8b828212398156059d15521493d6a9b5148a4050f9926ce0ae,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d68d1923d2be2f87220796b09da7c1a85d1ac958ac2a4e9fd36b3ccdd0e63f4a,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
4d3cc21809605eeb7dd863fc407323f0d98714582ed42ed6f9986892e630e821,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3478b954e240ea44b4bbd903fbc41f9d0b1e7934461ddf61af2a4623435fbe6a,2019-02,Metropolitan Police Service,Metropolitan Police Service,-0.170112,51.476638,On or near RANDALL CLOSE,E01004584,Wandsworth 003D,Investigation complete; no suspect identified
d5b20129484bf3bf0bd9bf401daf016bd11bc7303bba22a690484f6722a04c23,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
73d5aa94c810c321455db2287763896b77daef40936f7ea7acf20c30a9fc336c,2019-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
