Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1fda10db810f78c5623130d17ce448d9270ed14607b15a2bbac8067c4cecb4ad,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.129994,51.526588,On or near UPPER WOBURN PLACE,E01000852,Camden 026C,Investigation complete; no suspect identified
006268317e4e1445851472ee10b75ff796052c46fc2533e9c07c70d2d4f5ac6a,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.150354,51.543196,On or near CHALK FARM ROAD,E01000904,Camden 012C,Investigation complete; no suspect identified
5fb46fa65eace9257fe228916df3e7a0b5d2031837ecfa3f132d0a58f03253c9,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.121515,51.526642,On or near REGENT SQUARE,E01000937,Camden 025B,Investigation complete; no suspect identified
29b8b0b39b1cea3e389ad2d7f50669f81cd3e66aabc3c14a90b165a531db7868,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.133296,51.528664,On or near Shopping Area,E01000945,Camden 023B,Investigation complete; no suspect identified
32e12d29ecb6e6de514a380b0e816b634400b947ce836ce4a1a28c5eaed08aea,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.132403,51.543101,On or near COBHAM MEWS,E01000865,Camden 015B,Investigation complete; no suspect identified
d4e40aa16c3322b8d7af434f882950cb2c75cd40381f4d4ae77b05352c9a0d8f,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.121548,51.52862,On or near ARGYLE STREET,E01000939,Camden 024C,Investigation complete; no suspect identified
d3c14d538abcbfb28daeabdbf25f6beeefa6a11d194e4b5b8254e9dd95ad09f4,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.107229,51.521745,On or near ONSLOW STREET,E01000916,Camden 027B,Investigation complete; no suspect identified
f86c3d77e367577fa9d77c66568f19d32219ba083a7aae4f58f721d62822b11d,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.14198,51.538109,On or near CAMDEN HIGH STREET,E01000863,Camden 021A,Investigation complete; no suspect identified
221486e1fdbb9615ca959414e820ac13d93ff4a7a6656af4a0522df3fffc80a2,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.167147,51.553792,On or near POND STREET,E01000897,Camden 008D,Investigation complete; no suspect identified
5e04af44a911d294a0646a9ffe41e42b6caec3805bd3562e1bb308b3b3c3ffc0,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.163804,51.536861,On or near BROXWOOD WAY,E01000967,Camden 017D,Investigation complete; no suspect identified
5e04af44a911d294a0646a9ffe41e42b6caec3805bd3562e1bb308b3b3c3ffc0,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.163804,51.536861,On or near BROXWOOD WAY,E01000967,Camden 017D,Investigation complete; no suspect identified
