Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d946bdab559a4cd83a13fda4f204bf2852e2800dbdf33b226140920171a35aa4,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender otherwise dealt with
e7d27c8658e3bc25d4ddcdd7382d5816f4a91007cebda5a9c6f255009d8130dd,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
268ad819c984443a3b130f9546e58e9fac1c94a58cd2be6d223f2e79d4aa5bc4,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
7acfd04a1961310e83550823652c071cd1b76d4a418182e819d7a3583e7c34c3,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
0c0e516f908e921a53067589387fca177b5c0f9428252bfb395dadf9cd5f236d,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Court case unable to proceed
ee12c5ba465dc029986280b0b249bb92854fc3a8bf8a7ecc3056838cb91995f3,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given conditional discharge
b2800b5f32ad5bfd5c98942859c99af7acfb5dbef00324b24c34fd1877f3bbde,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
064a51562cda4c03f1a3eaeae6c9374f374f1f06f019dbd39a5ae909f19eaec6,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
d56ca3929af417c2712792d3d82ae25229a53df5a348b052ec5a534793e718ae,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
14d0b05342bc917dff2726e13534691a6070ef582a5b01d033daf963e789c2a0,2018-04,Metropolitan Police Service,Metropolitan Police Service,-0.124933,51.500969,On or near BRIDGE STREET,E01004733,Westminster 020C,Offender otherwise dealt with
81ae671ee6fb5fc34b45be5f0219f3639384c9d0aec5b79360edafea1c0fe215,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
221c686ead972885d3dde7dff69cd99e8225a700d3ddd6f2017aee02ecef81ef,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
b55fd7bca817678731054a46d6fae51cf8dcd74ffcf45ace30f375a5b0e6e265,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
d88dcd395b83550a3ecfdc76b83ae26e309b945bd843d5f9af89e286f67c2fbb,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
7810b9f1a7c9e0d02e94743e1a85dfa34ff747ecf4bfadd3470e7aefcaec9ddb,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
75d0c233ad8e61ff97a40397def0dd374f14c594408e46260a5f30754fd43870,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
e4bfa9ff09c6c0654998c1f169516bc2a66580818d3eab572308d658c76a77e6,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
1bf165add3f924897a4f7e60ad37e73e17cbb782a05cacccc843f99f1e11b8c5,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
9d0e79c8166774e807745ca7f2bec04b56c6c20755caddcc3297a5be1637f02b,2018-04,Metropolitan Police Service,Metropolitan Police Service,0.025636,51.53546,On or near DACRE ROAD,E01003597,Newham 016C,Court case unable to proceed
f81724cdf08eea380a28087e2ac08f3f84c3673064576116e77342d3cd1ff06d,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
84dec605e76e8170af507e9ae8601d1127f1cb7dccb3ce710b8ba8b220993b86,2018-04,Metropolitan Police Service,Metropolitan Police Service,0.068297,51.576973,On or near Nightclub,E01003653,Redbridge 015D,Defendant found not guilty
a87c3148dc378224390965228a6b8853659e476713737c4bf1c98e57c337a97b,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
aeb32d6de8675c86973e3d7b620c1e7ea0fc54f0ddfa5f7c1bb4217eae6eb47b,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
e9e9cc484b6b95dbbbffdaab93b04a979d2587e31b815174e08515c0307a30e1,2018-04,Metropolitan Police Service,Metropolitan Police Service,-0.331668,51.518084,On or near BROWNING AVENUE,E01001286,Ealing 016E,Offender sent to prison
af0518c6ed94df3139819018617d5f5f41075ddd01ae1ed55eac88849398546c,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given conditional discharge
958aa97f85fac6fa8938ffec07c6aa35dde6a24b2dcd6a1cf3d267ebef65d217,2018-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
