Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2ad1eba99c578b19e5606e174738c54b82bdc92717efdc100278aca9d94d11ff,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.247932,51.398036,On or near ALBERT ROAD,E01002985,Kingston upon Thames 007E,Investigation complete; no suspect identified
30b3cd592da1c175ba5fb15b48c8f6d282d7269f728da2f4c97724521aff5c33,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.299627,51.389482,On or near OAK HILL CRESCENT,E01002999,Kingston upon Thames 013E,Investigation complete; no suspect identified
2f0740b7739afcb71216680a62cdf8e24ebe3aa63bc08c05e0c2e8f540bf7368,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.301708,51.376751,On or near VERONA DRIVE,E01003002,Kingston upon Thames 016E,Investigation complete; no suspect identified
e4dd942d7b9c5ff258b11d9651a53a9a23249e4f9081e385635d6c06197d7fe4,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.305968,51.484713,On or near ST PAUL'S ROAD,E01002567,Hounslow 006C,Investigation complete; no suspect identified
95c5958b60913b24c5967f2a40ecd0bfaa1957d1931712b2efe67ba33a8c83ca,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.396057,51.476089,On or near Petrol Station,E01002635,Hounslow 010D,Investigation complete; no suspect identified
6824e33fbec265d8e5bc400dcb65c97079b7b47370416bb46ba40a3b5aba6cd9,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.362051,51.468263,On or near DOUGLAS ROAD,E01033083,Hounslow 018F,Investigation complete; no suspect identified
b8775f82c8f7850272339f20a3beeaeee95e0f9551d0ad630142e6b41897e175,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.372126,51.477656,On or near HARRIS CLOSE,E01002621,Hounslow 011B,Investigation complete; no suspect identified
6a390131bc971c4825c7a6f5928b94f2a507d60ac5d70aac170fe4973a632f84,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.363025,51.478042,On or near SPRING GROVE ROAD,E01002640,Hounslow 012C,Offender given a caution
30cc20f639cabf32251ddcfba90aed1f7373eaa2dd421ddfe4ebcbb2fe01786f,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.354767,51.47102,On or near Bus/Coach Station,E01002642,Hounslow 015A,Suspect charged
6a32fcf297c77874586efa4c1ccf569b41912b2386d2e28e501e5428964532bc,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.364338,51.469113,On or near Police Station,E01002641,Hounslow 018A,Investigation complete; no suspect identified
948a7fb0beb6366066de19914cee14a5bb05365d760afede2d7ba9f26f66d49e,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.251238,51.495618,On or near FLANDERS ROAD,E01002573,Hounslow 001C,Investigation complete; no suspect identified
93a8808a1288308e935e4cce5d58d19927c8d35b08c6cbb058f05c4ede2c3b39,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.363383,51.467643,On or near Shopping Area,E01033083,Hounslow 018F,Suspect charged
bb3c081528345b34fe6d4b5a87894f0ae3d94ec930aa51d4788bf5a932132fff,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.410235,51.447237,On or near BEDFONT LANE,E01033030,Hounslow 025G,Investigation complete; no suspect identified
bf490c292349d1c30dacf8f93f9390fd9e593993c093a4df1744f3ded1b616ba,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.363383,51.467643,On or near Shopping Area,E01033083,Hounslow 018F,Suspect charged
c128f4da1cbff69241f10c1f0837b190034c981ddb5aa906209d8beca14dd0fa,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.378123,51.465285,On or near WELLINGTON ROAD SOUTH,E01002664,Hounslow 017E,Investigation complete; no suspect identified
fad7fbc440612aa9868624ce6238244a08a7ab2893ab37d3c800919bbb94a819,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.338197,51.469771,On or near GREENWOOD ROAD,E01002669,Hounslow 014B,Investigation complete; no suspect identified
0e6c8052e62fa089697db62570c14c2fbd619da554324c5eaac6173915c329a9,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.36637,51.468674,On or near LAMPTON ROAD,E01033083,Hounslow 018F,Investigation complete; no suspect identified
e0c842fea6f658e2c04dd65c167b2fcbe24b27d15f79c3f95d67109f0ee6f2c4,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.379725,51.490791,On or near CLUNBURY AVENUE,E01002625,Hounslow 004B,Investigation complete; no suspect identified
127cf799a1b1a149035ad3584588dcfa1e53a01ecc409289a657082dffa8bb54,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
e45d50e199485c454980a7b49583326127235e091e0265efb2776f367c1ced85,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6d0ce27184432fe01a893cf460e6556a945b2d48ed769ad6824cddbd20b43b73,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
65d97b214dcaa9a687f84fdb5613175443094fa18caadeccdcd1dd67ec361a0f,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3ea9473804d2a16b7efb6d9c56cd1060143566694d582e5d389d127cad443989,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
2514bb80ae92a16c6489eb44c0b9964e90c6eaab1e76fa6eab12d91064872a83,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given a drugs possession warning
9a1876019dd661f3c1f5cb063e23c49a623478188fa3bd708ab77939917786bf,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a32d2a39313b06bbc98f72e08c537380faf8e01f3216651d1a73f6cba4bf4c15,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
a32d2a39313b06bbc98f72e08c537380faf8e01f3216651d1a73f6cba4bf4c15,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
4b41cf639d5654a3cb1b705ee2e1a3c60c5565d2f8f495c6b7b120f04f58df95,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
04082d0a95ef630854ab3871594708e23e61043e9e6dee42fb73018e074f3717,2017-04,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
