Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c95381620f57fc17914bf3ace8584e77052da97ecc5b0e49e3220e4fdcb58453,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
f2b4292f11e0954dc16bce33b4fd5283cfa68e04638a84de02ca85d701df30b3,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.192935,51.500004,On or near WRIGHT'S LANE,E01002889,Kensington and Chelsea 010B,Offender sent to prison
6c44031ddee0e88fa851032198ec62dcba50f5cdefd226eebf034869e74dd1a1,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender given community sentence
b65873e8f983ac0c60dfccd41a7902f9aaa0d2c6a3ff6cc7f38f5f9a508ba8a8,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
4ab543635a4af9c3ea4dad2771a7e2ddeae1cfe636ca5de74ffa0a3b3f80cdba,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.108583,51.59653,On or near BULLER ROAD,E01002029,Haringey 016B,Court case unable to proceed
fc63bb083d15570f2b7534eec806faf714e1b01e891a4dc667548911ee71b2da,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.304198,51.497466,On or near SOUTH ROAD,E01001301,Ealing 039B,Offender given suspended prison sentence
c1433387b9c358679b0c10aa7fab42d0cd6c1893ca53d642c95c974db21b65bf,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.068988,51.47025,On or near Supermarket,E01004061,Southwark 025A,Offender given community sentence
93fb3f3e6ec2622b8639bd21a6e03fe1ec0c5fbbb6d2f1e7f9c73b786cbaf802,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.479923,51.545744,On or near WINDSOR STREET,E01002521,Hillingdon 016C,Defendant found not guilty
2e1bc61c4cb2afb0e5e34affe980ba75b7d0d7a8160c0d53d6903aad8b007393,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
8b888adec9d41e06e1db18345b248468a06f8f4f49f6a57e36704060aef1814b,2018-05,Metropolitan Police Service,Metropolitan Police Service,0.208896,51.57182,On or near COURAGE CLOSE,E01002274,Havering 014B,Offender given community sentence
27d3c3f0fe1755d841b72cdb6ef931595b15590b04a433fe4ddb67b0945e3983,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
f7dd6954b2ee24d87dc8bbb87b186406349cf038d4db21209504e12631f64cd6,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
af650cde10f3bc3b909465c69276dffa181237bb8bf1ef0f6033b14b92cc4650,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender otherwise dealt with
b65873e8f983ac0c60dfccd41a7902f9aaa0d2c6a3ff6cc7f38f5f9a508ba8a8,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
651f776e0ac4b39ac20e3d35be19dcc1586593be099a66a0c7a722eee2d49145,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender sent to prison
0295b9c028c81acf1c828e5aa1784b4733edcf29c6a15cf7ebde982c4e3acc54,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Offender fined
b65873e8f983ac0c60dfccd41a7902f9aaa0d2c6a3ff6cc7f38f5f9a508ba8a8,2018-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Defendant found not guilty
