Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dc5a02fadeb055dc12826f9e411a9f3323db85a2d150a28c9052b5ef568a193b,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.131588,51.516506,On or near Supermarket,E01004763,Westminster 013B,Local resolution
dc5a02fadeb055dc12826f9e411a9f3323db85a2d150a28c9052b5ef568a193b,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.131588,51.516506,On or near Supermarket,E01004763,Westminster 013B,Local resolution
4838fafc97e2a3658a0a69d6b687e35215f4b03c225f08b0beb0cf21e37471a9,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
24973e30fe57ebe0d9f678ac8cbdb3c59249947ae5d321fbf43810206c098a9d,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.20083,51.521222,On or near GREAT WESTERN ROAD,E01032512,Westminster 010F,Suspect charged
1671751d39a3dbffc994133e436a289885af3c99c2c55e97756e1caeddc31786,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.141824,51.519627,On or near GOSFIELD STREET,E01004765,Westminster 013D,Investigation complete; no suspect identified
d8464a3b4013fc524a7e16515cccdf78c38af4581dbdc69e4e173e425e2512ce,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.13743,51.509324,On or near SWALLOW STREET,E01033595,Westminster 013E,Suspect charged
3a8ec2d06a86f9e14b99606bdddfc2bfbffad6b09f299b857d9260de79cbae46,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b952dfea693a559845c5132bc220a6dd967201f595e754969a607be9f1387475,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5e8cd973cc6bb1ba3aaeca6bd89bd1b8bc085ba35d5fe743259e3a2c12ecc0a3,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
fe75733a34e6d7b4b9ce54428f72f1f53d1d1b6131c5cc6e9ac3c55c4805ac2d,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
324db3cd4145b36f83b1bc8004e00a68c0f34d698bb36d23231f4c79d7454313,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d5cd6775fea27e2d6b7674cf13be01ef851cf07bc12c03163cf5ef742ca4305d,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0f1ee7ae9d2cda38b7470fa502433520aa49512550d45286f26fc17bf84ad274,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8dc4fd55e707b0d666643179f247a1f8c1c03feb5f64c1756ff7cba527c31746,2018-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
